"id","source_id","cot_type"
39659064,89,"a-n-A-C-F"
39676872,19,"a-n-A-C-F-m"
39667273,38,"a-n-A-C-F-m"
39676572,43,"a-n-A-C-F-m"
39675828,43,"a-n-A-C-F-m"
39687443,10,"a-n-A-C-F-m"
39690377,62,"a-n-A-C-F-m"
39670927,26,"a-n-A-C-F-m"
39660781,53,"a-n-A-C-F-m"
39688552,40,"a-n-A-C-F-m"
39674656,43,"a-n-A-C-F-m"
39666310,58,"a-n-A-C-F-m"
39682068,63,"a-n-A-C-F-m"
39666134,58,"a-n-A-C-F-m"
39685630,68,"a-n-A-C-F-m"
39673735,65,"a-n-A-C-F-m"
39666466,58,"a-n-A-C-F-m"
39672903,19,"a-n-A-C-F-m"
39687629,10,"a-n-A-C-F-m"
39683181,10,"a-n-A-C-F-m"
39674849,37,"a-n-A-C-F-m"
39664943,6,"a-n-A-C-F-m"
39662035,53,"a-n-A-C-F-m"
39667202,8,"a-n-A-C-F-m"
39674750,63,"a-n-A-C-F-m"
39657964,29,"a-n-A-C-F-m"
39681988,25,"a-n-A-C-F-m"
39678170,19,"a-n-A-C-F-m"
39667877,79,"a-n-A-C-F-m"
39682479,43,"a-n-A-C-F-m"
39673698,37,"a-n-A-C-F-m"
39659019,53,"a-n-A-C-F-m"
39657140,53,"a-n-A-C-F-m"
39685661,68,"a-n-A-C-F-m"
39668046,22,"a-n-A-C-F-m"
39660759,45,"a-n-A-C-F-m"
39676131,19,"a-n-A-C-F-m"
39657585,16,"a-n-A-C-F-m"
39686547,41,"a-n-A-C-F-m"
39686067,24,"a-n-A-C-F-m"
39677186,37,"a-n-A-C-F-m"
39662769,8,"a-n-A-C-F-m"
39659378,53,"a-n-A-C-F-m"
39666892,38,"a-n-A-C-F-m"
39686701,41,"a-n-A-C-F-m"
39659411,29,"a-n-A-C-F-m"
39673098,19,"a-n-A-C-F-m"
39666177,79,"a-n-A-C-F-m"
39662660,61,"a-n-A-C-F-m"
39667618,26,"a-n-A-C-F-m"
39668632,8,"a-n-A-C-F-m"
39665336,8,"a-n-A-C-F-m"
39661799,79,"a-n-A-C-F-m"
39660178,36,"a-n-A-C-F-m"
39670661,26,"a-n-A-C-F-m"
39683490,25,"a-n-A-C-F-m"
39681135,23,"a-n-A-C-F-m"
39658862,29,"a-n-A-C-F-m"
39663583,61,"a-n-A-C-F-m"
39671041,38,"a-n-A-C-F-m"
39680331,10,"a-n-A-C-F-m"
39662436,79,"a-n-A-C-F-m"
39683775,25,"a-n-A-C-F-m"
39671954,65,"a-n-A-C-F-m"
39679829,63,"a-n-A-C-F-m"
39679775,49,"a-n-A-C-F-m"
39663051,61,"a-n-A-C-F-m"
39677051,42,"a-n-A-C-F-m"
39678855,25,"a-n-A-C-F-m"
39670911,19,"a-n-A-C-F-m"
39683005,25,"a-n-A-C-F-m"
39658438,29,"a-n-A-C-F-m"
39663897,8,"a-n-A-C-F-m"
39665475,8,"a-n-A-C-F-m"
39682998,10,"a-n-A-C-F-m"
39667139,79,"a-n-A-C-F-m"
39660694,6,"a-n-A-C-F-m"
39686168,12,"a-n-A-C-F-m"
39662323,79,"a-n-A-C-F-m"
39685626,41,"a-n-A-C-F-m"
39659726,53,"a-n-A-C-F-m"
39669036,38,"a-n-A-C-F-m"
39657460,53,"a-n-A-C-F-m"
39682482,10,"a-n-A-C-F-m"
39689674,24,"a-n-A-C-F-m"
39665041,8,"a-n-A-C-F-m"
39671012,37,"a-n-A-C-F-m"
39685317,68,"a-n-A-C-F-m"
39680533,41,"a-n-A-C-F-m"
39661183,53,"a-n-A-C-F-m"
39681959,43,"a-n-A-C-F-m"
39665694,79,"a-n-A-C-F-m"
39665177,38,"a-n-A-C-F-m"
39684076,10,"a-n-A-C-F-m"
39669352,42,"a-n-A-C-F-m"
39685855,25,"a-n-A-C-F-m"
39673992,38,"a-n-A-C-F-m"
39665406,79,"a-n-A-C-F-m"
39669424,22,"a-n-A-C-F-m"
39664432,79,"a-n-A-C-F-m"
39684556,5,"a-n-A-C-F-m"
39663967,61,"a-n-A-C-F-m"
39680922,25,"a-n-A-C-F-m"
39664845,38,"a-n-A-C-F-m"
39662476,6,"a-n-A-C-F-m"
39690023,10,"a-n-A-C-F-m"
39661696,45,"a-n-A-C-F-m"
39662165,79,"a-n-A-C-F-m"
39669698,8,"a-n-A-C-F-m"
39665402,79,"a-n-A-C-F-m"
39686489,10,"a-n-A-C-F-m"
39666002,79,"a-n-A-C-F-m"
39675190,25,"a-n-A-C-F-m"
39681621,19,"a-n-A-C-F-m"
39664986,61,"a-n-A-C-F-m"
39667734,8,"a-n-A-C-F-m"
39677231,25,"a-n-A-C-F-m"
39676973,65,"a-n-A-C-F-m"
39673238,19,"a-n-A-C-F-m"
39662473,36,"a-n-A-C-F-m"
39674423,65,"a-n-A-C-F-m"
39674598,37,"a-n-A-C-F-m"
39690688,62,"a-n-A-C-F-m"
39665999,79,"a-n-A-C-F-m"
39665379,8,"a-n-A-C-F-m"
39668590,26,"a-n-A-C-F-m"
39680289,25,"a-n-A-C-F-m"
39676443,63,"a-n-A-C-F-m"
39672840,26,"a-n-A-C-F-m"
39663812,79,"a-n-A-C-F-m"
39671157,26,"a-n-A-C-F-m"
39674626,25,"a-n-A-C-F-m"
39673759,63,"a-n-A-C-F-m"
39661685,8,"a-n-A-C-F-m"
39683098,41,"a-n-A-C-F-m"
39677963,63,"a-n-A-C-F-m"
39678238,19,"a-n-A-C-F-m"
39662921,79,"a-n-A-C-F-m"
39666811,38,"a-n-A-C-F-m"
39657656,67,"a-n-A-C-F-m"
39680077,25,"a-n-A-C-F-m"
