id,source_id,cot_type,how
39657433,1935,a-n-A-C-F-m,m-g
39657331,1830,a-n-A-C-F-m,m-g
39657655,2212,a-n-A-C-F-m,m-g
39658113,2199,a-n-A-C-F-m,m-g
39658463,2135,a-n-A-C-F-m,m-g
39657487,2199,a-n-A-C-F-m,m-g
39657361,2170,a-n-A-C-F,m-g
39657092,1935,a-n-A-C-F-m,m-g
39657118,2057,a-n-A-C-F-m,m-g
39657731,1830,a-n-A-C-F-m,m-g
39657273,1830,a-n-A-C-F-m,m-g
39657019,2199,a-n-A-C-F-m,m-g
39658325,1935,a-n-A-C-F-m,m-g
39657242,1830,a-n-A-C-F-m,m-g
39657945,2199,a-n-A-C-F-m,m-g
39657913,2199,a-n-A-C-F-m,m-g
