"id","source_id","cot_type","how"
39675124,19,"a-n-A-C-F-m","m-g"
39670554,19,"a-n-A-C-F-m","m-g"
39686889,10,"a-n-A-C-F-m","m-g"
39669264,8,"a-n-A-C-F-m","m-g"
39666042,55,"a-n-A-C-F-m","m-g"
39661456,61,"a-n-A-C-F-m","m-g"
39685612,10,"a-n-A-C-F-m","m-g"
39667146,38,"a-n-A-C-F-m","m-g"
39659567,53,"a-n-A-C-F-m","m-g"
39662963,79,"a-n-A-C-F-m","m-g"
39672849,63,"a-n-A-C-F-m","m-g"
39671170,42,"a-n-A-C-F-m","m-g"
39662505,53,"a-n-A-C-F-m","m-g"
39685714,24,"a-n-A-C-F-m","m-g"
39689849,62,"a-n-A-C-F-m","m-g"
39674069,38,"a-n-A-C-F-m","m-g"
39673590,26,"a-n-A-C-F-m","m-g"
39677960,42,"a-n-A-C-F-m","m-g"
39681323,41,"a-n-A-C-F-m","m-g"
39683352,25,"a-n-A-C-F-m","m-g"
39673950,25,"a-n-A-C-F-m","m-g"
39658776,29,"a-n-A-C-F-m","m-g"
39661909,6,"a-n-A-C-F-m","m-g"
39674850,37,"a-n-A-C-F-m","m-g"
39674602,25,"a-n-A-C-F-m","m-g"
39676850,43,"a-n-A-C-F-m","m-g"
39661270,1,"a-n-A-C-F-m","m-g"
39687098,7,"a-n-A-C-F-m","m-g"
39666061,38,"a-n-A-C-F-m","m-g"
39684968,41,"a-n-A-C-F-m","m-g"
39684705,25,"a-n-A-C-F-m","m-g"
39683459,25,"a-n-A-C-F-m","m-g"
39661043,1,"a-n-A-C-F-m","m-g"
39658921,1,"a-n-A-C-F-m","m-g"
39671951,38,"a-n-A-C-F-m","m-g"
39684694,10,"a-n-A-C-F-m","m-g"
39672025,19,"a-n-A-C-F-m","m-g"
39681159,69,"a-n-A-C-F-s","m-g"
39669646,22,"a-n-A-C-F-m","m-g"
39685117,10,"a-n-A-C-F-m","m-g"
39673726,38,"a-n-A-C-F-m","m-g"
39662744,79,"a-n-A-C-F-m","m-g"
39672704,38,"a-n-A-C-F-m","m-g"
39679798,25,"a-n-A-C-F-m","m-g"
39687871,10,"a-n-A-C-F-m","m-g"
39681110,25,"a-n-A-C-F-m","m-g"
39666084,79,"a-n-A-C-F-m","m-g"
39682155,19,"a-n-A-C-F-m","m-g"
39687944,7,"a-n-A-C-F-m","m-g"
39680631,63,"a-n-A-C-F-m","m-g"
39684020,41,"a-n-A-C-F-m","m-g"
39670737,38,"a-n-A-C-F-m","m-g"
39670511,38,"a-n-A-C-F-m","m-g"
39684340,68,"a-n-A-C-F-m","m-g"
39690025,66,"a-n-A-C-F-m","m-g"
39669655,42,"a-n-A-C-F-m","m-g"
39671081,19,"a-n-A-C-F-m","m-g"
39664188,61,"a-n-A-C-F-m","m-g"
39669760,42,"a-n-A-C-F-m","m-g"
39684386,41,"a-n-A-C-F-m","m-g"
39679971,23,"a-n-A-C-F-m","m-g"
