"name","id","cot_type","servertime"
"ABA7B0",39668840,"a-n-A-C-F-m",201705071650
"C06A39",39680201,"a-n-A-C-F-m",201705071700
"A8913B",39691060,"a-n-A-C-F-m",201705071710
"ABE42C",39671084,"a-n-A-C-F-m",201705071650
"ICAO-AB5ADE",39687214,"a-n-A-C-F-m",201705071705
"ICAO-A6C6C8",39664740,"a-n-A-C-F-m",201705071645
"A1AA24",39658122,"a-n-A-C-F-m",201705071635
"A836FB",39676960,"a-n-A-C-F-m",201705071655
"42423F",39664113,"a-n-A-C-F-m",201705071645
"A2F591",39687812,"a-n-A-C-F-m",201705071705
"A71EFA",39672355,"a-n-A-C-F-m",201705071655
"ABD19E",39663573,"a-n-A-C-F-m",201705071645
"A1AA24",39658922,"a-n-A-C-F-m",201705071640
"A3EE1F",39657887,"a-n-A-C-F-m",201705071635
"AB7B02",39667762,"a-n-A-C-F-m",201705071650
"ICAO-A4322C",39680964,"a-n-A-C-F-s",201705071700
"AB7B02",39667351,"a-n-A-C-F-m",201705071650
"A8C802",39672149,"a-n-A-C-F-m",201705071655
"A3EE1F",39657483,"a-n-A-C-F-m",201705071635
"ABD19E",39661127,"a-n-A-C-F-m",201705071640
"AAF183",39687305,"a-n-A-C-F-m",201705071705
"A836FB",39671166,"a-n-A-C-F-m",201705071650
"42423F",39660520,"a-n-A-C-F-m",201705071640
"A96BA2",39687410,"a-n-A-C-F-m",201705071705
"ABA7B0",39662166,"a-n-A-C-F-m",201705071640
"AB00CE",39658985,"a-n-A-C-F-m",201705071640
"A96BA2",39689110,"a-n-A-C-F-m",201705071705
"A6FA94",39664988,"a-n-A-C-F-m",201705071645
"A262A9",39673780,"a-n-A-C-F-m",201705071655
"AA7E7C",39670901,"a-n-A-C-F-m",201705071650
"C06A39",39685589,"a-n-A-C-F-m",201705071705
"AAF183",39690506,"a-n-A-C-F-m",201705071710
"A63665",39677297,"a-n-A-C-F-m",201705071655
"A63665",39680272,"a-n-A-C-F-m",201705071700
"A836FB",39678900,"a-n-A-C-F-m",201705071700
"ICAO-ADC2A7",39660234,"a-n-A-C-F-m",201705071640
"C06A39",39680748,"a-n-A-C-F-m",201705071700
"A63665",39681625,"a-n-A-C-F-m",201705071700
"A1AA24",39657790,"a-n-A-C-F-m",201705071635
"ICAO-A658DE",39682379,"a-n-A-C-F-m",201705071700
"AAF183",39690362,"a-n-A-C-F-m",201705071710
"AB7B02",39670731,"a-n-A-C-F-m",201705071650
"A836FB",39675240,"a-n-A-C-F-m",201705071655
"AB7B02",39667414,"a-n-A-C-F-m",201705071650
"A71EFA",39673713,"a-n-A-C-F-m",201705071655
"AB7B02",39666304,"a-n-A-C-F-m",201705071645
"A1AA24",39657295,"a-n-A-C-F-m",201705071635
"A1AA24",39658575,"a-n-A-C-F-m",201705071640
"C06A39",39681143,"a-n-A-C-F-m",201705071700
"ICAO-ACEA99",39664467,"a-n-A-C-F-m",201705071645
"A583F5",39661663,"a-n-A-C-F-m",201705071640
"C06A39",39682930,"a-n-A-C-F-m",201705071700
"ABD19E",39662989,"a-n-A-C-F-m",201705071645
"A2F591",39683301,"a-n-A-C-F-m",201705071700
"A71EFA",39678909,"a-n-A-C-F-m",201705071700
"C2095",39682645,"a-n-A-C-F-m",201705071700
"ABA7B0",39668358,"a-n-A-C-F-m",201705071650
"A71EFA",39677797,"a-n-A-C-F-m",201705071655
"AAF183",39686515,"a-n-A-C-F-m",201705071705
"A836FB",39685104,"a-n-A-C-F-m",201705071705
"A8C802",39668566,"a-n-A-C-F-m",201705071650
"A63665",39675826,"a-n-A-C-F-m",201705071655
"A7ED31",39666493,"a-n-A-C-F-m",201705071650
"AA7E7C",39672852,"a-n-A-C-F-m",201705071655
"ABA7B0",39664721,"a-n-A-C-F-m",201705071645
"AA7E7C",39672856,"a-n-A-C-F-m",201705071655
"A8C802",39667173,"a-n-A-C-F-m",201705071650
"A71EFA",39675736,"a-n-A-C-F-m",201705071655
"AA7E7C",39675523,"a-n-A-C-F-m",201705071655
"AA7E7C",39670495,"a-n-A-C-F-m",201705071650
"ICAO-A98BCA",39685138,"a-n-A-C-F-m",201705071705
"A8299A",39669598,"a-n-A-C-F-m",201705071650
"A836FB",39672648,"a-n-A-C-F-m",201705071655
"A836FB",39678332,"a-n-A-C-F-m",201705071700
"AD968E",39658665,"a-n-A-C-F-m",201705071640
"A836FB",39674861,"a-n-A-C-F-m",201705071655
"A2F591",39686773,"a-n-A-C-F-m",201705071705
"AA7E7C",39675122,"a-n-A-C-F-m",201705071655
"ABD19E",39662039,"a-n-A-C-F-m",201705071640
"ICAO-A658DE",39683797,"a-n-A-C-F-m",201705071705
"A63665",39683029,"a-n-A-C-F-m",201705071700
"ABA7B0",39664549,"a-n-A-C-F-m",201705071645
"ABA7B0",39667226,"a-n-A-C-F-m",201705071650
"A6FA94",39665372,"a-n-A-C-F-m",201705071645
"42423F",39660924,"a-n-A-C-F-m",201705071640
"ABA7B0",39661046,"a-n-A-C-F-m",201705071640
"ICAO-A4322C",39680369,"a-n-A-C-F-s",201705071700
"ABA7B0",39662744,"a-n-A-C-F-m",201705071645
"A3EE1F",39658439,"a-n-A-C-F-m",201705071635
"ABE42C",39673995,"a-n-A-C-F-m",201705071655
"C06A39",39680633,"a-n-A-C-F-m",201705071700
"A262A9",39677577,"a-n-A-C-F-m",201705071655
"42423F",39661812,"a-n-A-C-F-m",201705071640
"A8299A",39669726,"a-n-A-C-F-m",201705071650
"A6FA94",39666812,"a-n-A-C-F-m",201705071650
"A262A9",39676450,"a-n-A-C-F-m",201705071655
"A836FB",39684832,"a-n-A-C-F-m",201705071705
"A2F591",39684895,"a-n-A-C-F-m",201705071705
"AA7E7C",39671005,"a-n-A-C-F-m",201705071650
"42423F",39660251,"a-n-A-C-F-m",201705071640
"A836FB",39680912,"a-n-A-C-F-m",201705071700
"42423F",39664875,"a-n-A-C-F-m",201705071645
"ABA7B0",39668548,"a-n-A-C-F-m",201705071650
"ABA7B0",39666150,"a-n-A-C-F-m",201705071645
"A2F591",39683294,"a-n-A-C-F-m",201705071700
"AB4BA6",39687407,"a-n-A-C-F-m",201705071705
"ABA7B0",39664220,"a-n-A-C-F-m",201705071645
"ICAO-AB5ED8",39685419,"a-n-A-C-F-m",201705071705
"42423F",39660187,"a-n-A-C-F-m",201705071640
