"name","id","cot_type","servertime"
"AA600A",39665546,"a-n-A-C-F-m",201705071645
"A6A7DC",39659003,"a-n-A-C-F-m",201705071640
"A6A7DC",39659410,"a-n-A-C-F-m",201705071640
"A6A7DC",39657670,"a-n-A-C-F-m",201705071635
"AA600A",39668902,"a-n-A-C-F-m",201705071650
"A6A7DC",39658223,"a-n-A-C-F-m",201705071635
"AA600A",39663626,"a-n-A-C-F-m",201705071645
"A1D10C",39659734,"a-n-A-C-F-m",201705071640
"A6A7DC",39657442,"a-n-A-C-F-m",201705071635
"AA600A",39663317,"a-n-A-C-F-m",201705071645
"A1D10C",39660702,"a-n-A-C-F-m",201705071640
"AA600A",39669877,"a-n-A-C-F-m",201705071650
"ICAO-3440CE",39659231,"a-n-A-C-F",201705071640
"A1D10C",39659809,"a-n-A-C-F-m",201705071640
"A6A7DC",39662655,"a-n-A-C-F-m",201705071645
"A6A7DC",39658467,"a-n-A-C-F-m",201705071635
"AA600A",39666741,"a-n-A-C-F-m",201705071650
"AA600A",39664122,"a-n-A-C-F-m",201705071645
"AA600A",39666301,"a-n-A-C-F-m",201705071645
"A6A7DC",39659146,"a-n-A-C-F-m",201705071640
"AA600A",39665425,"a-n-A-C-F-m",201705071645
"AA600A",39665131,"a-n-A-C-F-m",201705071645
"AA600A",39668686,"a-n-A-C-F-m",201705071650
"A1D10C",39659656,"a-n-A-C-F-m",201705071640
"AA600A",39663565,"a-n-A-C-F-m",201705071645
"A1D10C",39660950,"a-n-A-C-F-m",201705071640
"A1D10C",39661490,"a-n-A-C-F-m",201705071640
"A6A7DC",39660807,"a-n-A-C-F-m",201705071640
"A6A7DC",39657505,"a-n-A-C-F-m",201705071635
"A6A7DC",39661167,"a-n-A-C-F-m",201705071640
"A6A7DC",39657460,"a-n-A-C-F-m",201705071635
"AA600A",39668269,"a-n-A-C-F-m",201705071650
"AA600A",39668310,"a-n-A-C-F-m",201705071650
"A1D10C",39661664,"a-n-A-C-F-m",201705071640
"A6A7DC",39657031,"a-n-A-C-F-m",201705071635
"AA600A",39666341,"a-n-A-C-F-m",201705071650
"AA600A",39667488,"a-n-A-C-F-m",201705071650
"A6A7DC",39658620,"a-n-A-C-F-m",201705071640
"A6A7DC",39660464,"a-n-A-C-F-m",201705071640
"A1D10C",39660517,"a-n-A-C-F-m",201705071640
"A1D10C",39659729,"a-n-A-C-F-m",201705071640
"AA600A",39663830,"a-n-A-C-F-m",201705071645
"A1D10C",39663773,"a-n-A-C-F-m",201705071645
"AA600A",39663212,"a-n-A-C-F-m",201705071645
"A6A7DC",39658173,"a-n-A-C-F-m",201705071635
"AA600A",39664536,"a-n-A-C-F-m",201705071645
"AA600A",39664153,"a-n-A-C-F-m",201705071645
"A1D10C",39664100,"a-n-A-C-F-m",201705071645
"AA600A",39669158,"a-n-A-C-F-m",201705071650
"AA600A",39669174,"a-n-A-C-F-m",201705071650
"AA600A",39664439,"a-n-A-C-F-m",201705071645
"AA600A",39666856,"a-n-A-C-F-m",201705071650
"A6A7DC",39657052,"a-n-A-C-F-m",201705071635
"A1D10C",39664588,"a-n-A-C-F-m",201705071645
"A6A7DC",39661435,"a-n-A-C-F-m",201705071640
"A6A7DC",39661493,"a-n-A-C-F-m",201705071640
"AA600A",39663613,"a-n-A-C-F-m",201705071645
"AA600A",39664334,"a-n-A-C-F-m",201705071645
"AA600A",39661998,"a-n-A-C-F-m",201705071640
"AA600A",39671757,"a-n-A-C-F-m",201705071655
"A6A7DC",39657642,"a-n-A-C-F-m",201705071635
"A6A7DC",39659578,"a-n-A-C-F-m",201705071640
"AA600A",39663456,"a-n-A-C-F-m",201705071645
"A6A7DC",39658602,"a-n-A-C-F-m",201705071640
"AA600A",39665136,"a-n-A-C-F-m",201705071645
"A1D10C",39660701,"a-n-A-C-F-m",201705071640
"AA600A",39664243,"a-n-A-C-F-m",201705071645
"AA600A",39667486,"a-n-A-C-F-m",201705071650
"AA600A",39669401,"a-n-A-C-F-m",201705071650
"AA600A",39663520,"a-n-A-C-F-m",201705071645
"AA600A",39666766,"a-n-A-C-F-m",201705071650
"AA600A",39665962,"a-n-A-C-F-m",201705071645
"AA600A",39666198,"a-n-A-C-F-m",201705071645
"A1D10C",39662694,"a-n-A-C-F-m",201705071645
"A6A7DC",39660143,"a-n-A-C-F-m",201705071640
"A1D10C",39664221,"a-n-A-C-F-m",201705071645
"A6A7DC",39658748,"a-n-A-C-F-m",201705071640
"AA600A",39669375,"a-n-A-C-F-m",201705071650
"AA600A",39670060,"a-n-A-C-F-m",201705071650
"A1D10C",39663787,"a-n-A-C-F-m",201705071645
"A6A7DC",39661479,"a-n-A-C-F-m",201705071640
"AA600A",39664994,"a-n-A-C-F-m",201705071645
"AA600A",39662987,"a-n-A-C-F-m",201705071645
"A6A7DC",39659128,"a-n-A-C-F-m",201705071640
"A6A7DC",39656955,"a-n-A-C-F-m",201705071635
"A6A7DC",39660038,"a-n-A-C-F-m",201705071640
"A6A7DC",39661091,"a-n-A-C-F-m",201705071640
"A6A7DC",39657608,"a-n-A-C-F-m",201705071635
"A1D10C",39660210,"a-n-A-C-F-m",201705071640
"A1D10C",39660035,"a-n-A-C-F-m",201705071640
"A6A7DC",39657954,"a-n-A-C-F-m",201705071635
"A6A7DC",39659509,"a-n-A-C-F-m",201705071640
"AA600A",39663029,"a-n-A-C-F-m",201705071645
"A1D10C",39659801,"a-n-A-C-F-m",201705071640
"AA600A",39667193,"a-n-A-C-F-m",201705071650
"A6A7DC",39662527,"a-n-A-C-F-m",201705071645
"AA600A",39666162,"a-n-A-C-F-m",201705071645
"A1D10C",39663061,"a-n-A-C-F-m",201705071645
"A6A7DC",39662654,"a-n-A-C-F-m",201705071645
"AA600A",39663354,"a-n-A-C-F-m",201705071645
"A1D10C",39664584,"a-n-A-C-F-m",201705071645
"A1D10C",39659701,"a-n-A-C-F-m",201705071640
"AA600A",39661880,"a-n-A-C-F-m",201705071640
"AA600A",39666360,"a-n-A-C-F-m",201705071650
"A6A7DC",39659027,"a-n-A-C-F-m",201705071640
"A1D10C",39659765,"a-n-A-C-F-m",201705071640
"A6A7DC",39660165,"a-n-A-C-F-m",201705071640
"A6A7DC",39662212,"a-n-A-C-F-m",201705071640
"AA600A",39664982,"a-n-A-C-F-m",201705071645
"AA600A",39668333,"a-n-A-C-F-m",201705071650
"A1D10C",39660741,"a-n-A-C-F-m",201705071640
"A6A7DC",39662523,"a-n-A-C-F-m",201705071645
"ICAO-A854D0",39688556,"a-n-A-C-F-m",201705071705
"A6A7DC",39658219,"a-n-A-C-F-m",201705071635
"AA600A",39662426,"a-n-A-C-F-m",201705071645
"A6A7DC",39659432,"a-n-A-C-F-m",201705071640
"A1D10C",39659857,"a-n-A-C-F-m",201705071640
"A6A7DC",39661501,"a-n-A-C-F-m",201705071640
"A6A7DC",39658757,"a-n-A-C-F-m",201705071640
"A1D10C",39665017,"a-n-A-C-F-m",201705071645
"A1D10C",39664197,"a-n-A-C-F-m",201705071645
"A1D10C",39664694,"a-n-A-C-F-m",201705071645
"ICAO-3440CE",39660426,"a-n-A-C-F",201705071640
"AA600A",39669018,"a-n-A-C-F-m",201705071650
"AA600A",39663695,"a-n-A-C-F-m",201705071645
"A6A7DC",39657000,"a-n-A-C-F-m",201705071635
"A6A7DC",39661534,"a-n-A-C-F-m",201705071640
"A6A7DC",39657336,"a-n-A-C-F-m",201705071635
"A6A7DC",39659585,"a-n-A-C-F-m",201705071640
"AA600A",39664084,"a-n-A-C-F-m",201705071645
"AA600A",39666990,"a-n-A-C-F-m",201705071650
"A1D10C",39664370,"a-n-A-C-F-m",201705071645
"A6A7DC",39658280,"a-n-A-C-F-m",201705071635
"A6A7DC",39657703,"a-n-A-C-F-m",201705071635
"A1D10C",39663759,"a-n-A-C-F-m",201705071645
