"id","cot_type","servertime"
39666001,"a-n-A-C-F-m",201705071645
39679967,"a-n-A-C-F-m",201705071700
39681181,"a-n-A-C-F-m",201705071700
39684571,"a-n-A-C-F-m",201705071705
39679046,"a-n-A-C-F",201705071700
39662370,"a-n-A-C-F-m",201705071645
39687619,"a-n-A-C-F-m",201705071705
39690917,"a-n-A-C-F-m",201705071710
39688131,"a-n-A-C-F-m",201705071705
39682685,"a-n-A-C-F-m",201705071700
39666903,"a-n-A-C-F-m",201705071650
39685133,"a-n-A-C-F-m",201705071705
39680358,"a-n-A-C-F-m",201705071700
39665850,"a-n-A-C-F-m",201705071645
39663888,"a-n-A-C-F-m",201705071645
39687125,"a-n-A-C-F-m",201705071705
39659707,"a-n-A-C-F-m",201705071640
39664337,"a-n-A-C-F-m",201705071645
39676915,"a-n-A-C-F-m",201705071655
39687236,"a-n-A-C-F-m",201705071705
39672393,"a-n-A-C-F-m",201705071655
39685381,"a-n-A-C-F-m",201705071705
39658163,"a-n-A-C-F-m",201705071635
39673429,"a-n-A-C-F-m",201705071655
39675460,"a-n-A-C-F-m",201705071655
39663091,"a-n-A-C-F-m",201705071645
39663113,"a-n-A-C-F-m",201705071645
39665122,"a-n-A-C-F-m",201705071645
39659814,"a-n-A-C-F-m",201705071640
39658261,"a-n-A-C-F-m",201705071635
39673921,"a-n-A-C-F-m",201705071655
39658697,"a-n-A-C-F-m",201705071640
39668257,"a-n-A-C-F-m",201705071650
39658526,"a-n-A-C-F-m",201705071635
39672863,"a-n-A-C-F-m",201705071655
39677299,"a-n-A-C-F-m",201705071655
39671316,"a-n-A-C-F-m",201705071655
39670102,"a-n-A-C-F-m",201705071650
39687314,"a-n-A-C-F-m",201705071705
39689615,"a-n-A-C-F-m",201705071705
39664902,"a-n-A-C-F-m",201705071645
39669372,"a-n-A-C-F-m",201705071650
39678331,"a-n-A-C-F-s",201705071700
39659562,"a-n-A-C-F-m",201705071640
39679956,"a-n-A-C-F-m",201705071700
39675046,"a-n-A-C-F-m",201705071655
39688790,"a-n-A-C-F-m",201705071705
39684034,"a-n-A-C-F-m",201705071705
39666637,"a-n-A-C-F-m",201705071650
39663743,"a-n-A-C-F-m",201705071645
39668042,"a-n-A-C-F-m",201705071650
39686696,"a-n-A-C-F-m",201705071705
39672216,"a-n-A-C-F-m",201705071655
39664388,"a-n-A-C-F-m",201705071645
39680201,"a-n-A-C-F-m",201705071700
39684397,"a-n-A-C-F-m",201705071705
39657516,"a-n-A-C-F-m",201705071635
39684152,"a-n-A-C-F-m",201705071705
39674906,"a-n-A-C-F-m",201705071655
39687402,"a-n-A-C-F-m",201705071705
39688246,"a-n-A-C-F-m",201705071705
39682181,"a-n-A-C-F-m",201705071700
39657728,"a-n-A-C-F-m",201705071635
39689367,"a-n-A-C-F-m",201705071705
39686217,"a-n-A-C-F-m",201705071705
39670363,"a-n-A-C-F-m",201705071650
39680906,"a-n-A-C-F-m",201705071700
39658078,"a-n-A-C-F-m",201705071635
39671683,"a-n-A-C-F-m",201705071655
39675414,"a-n-A-C-F-m",201705071655
39684011,"a-n-A-C-F-m",201705071705
39687170,"a-n-A-C-F-m",201705071705
39666683,"a-n-A-C-F-m",201705071650
39687193,"a-n-A-C-F-m",201705071705
39667886,"a-n-A-C-F-m",201705071650
39687160,"a-n-A-C-F-m",201705071705
39669062,"a-n-A-C-F-m",201705071650
39659167,"a-n-A-C-F-m",201705071640
39681942,"a-n-A-C-F-m",201705071700
39668685,"a-n-A-C-F-m",201705071650
39668323,"a-n-A-C-F-m",201705071650
39660730,"a-n-A-C-F-m",201705071640
39678561,"a-n-A-C-F-m",201705071700
39682387,"a-n-A-C-F-m",201705071700
39671407,"a-n-A-C-F-m",201705071655
39666392,"a-n-A-C-F-m",201705071650
39685192,"a-n-A-C-F-m",201705071705
39686455,"a-n-A-C-F-m",201705071705
39674775,"a-n-A-C-F-m",201705071655
39674659,"a-n-A-C-F-m",201705071655
39673280,"a-n-A-C-F-m",201705071655
39686113,"a-n-A-C-F-m",201705071705
39688485,"a-n-A-C-F-m",201705071705
39669541,"a-n-A-C-F-m",201705071650
39660188,"a-n-A-C-F-m",201705071640
39657920,"a-n-A-C-F-m",201705071635
39668953,"a-n-A-C-F-m",201705071650
39684250,"a-n-A-C-F-m",201705071705
39691072,"a-n-A-C-F-m",201705071710
39666184,"a-n-A-C-F-m",201705071645
39681504,"a-n-A-C-F-m",201705071700
39669441,"a-n-A-C-F-m",201705071650
39672084,"a-n-A-C-F-m",201705071655
39682964,"a-n-A-C-F-m",201705071700
39689059,"a-n-A-C-F-m",201705071705
39665404,"a-n-A-C-F-m",201705071645
39681068,"a-n-A-C-F-m",201705071700
39677193,"a-n-A-C-F-m",201705071655
39658081,"a-n-A-C-F-m",201705071635
39660262,"a-n-A-C-F-m",201705071640
39674073,"a-n-A-C-F-m",201705071655
39677862,"a-n-A-C-F-m",201705071655
39675719,"a-n-A-C-F-m",201705071655
39657182,"a-n-A-C-F-m",201705071635
39662672,"a-n-A-C-F-m",201705071645
39689134,"a-n-A-C-F-m",201705071705
39684141,"a-n-A-C-F-m",201705071705
39682477,"a-n-A-C-F-m",201705071700
39666051,"a-n-A-C-F-m",201705071645
39676914,"a-n-A-C-F-m",201705071655
39668942,"a-n-A-C-F-m",201705071650
39688252,"a-n-A-C-F-m",201705071705
39679344,"a-n-A-C-F-m",201705071700
39678194,"a-n-A-C-F-m",201705071655
39670708,"a-n-A-C-F-m",201705071650
39659583,"a-n-A-C-F-m",201705071640
39658168,"a-n-A-C-F",201705071635
39690494,"a-n-A-C-F-m",201705071710
39672789,"a-n-A-C-F-m",201705071655
39681398,"a-n-A-C-F-m",201705071700
39681817,"a-n-A-C-F-m",201705071700
39679074,"a-n-A-C-F-m",201705071700
39685062,"a-n-A-C-F-m",201705071705
39670822,"a-n-A-C-F-m",201705071650
39681555,"a-n-A-C-F-s",201705071700
39684526,"a-n-A-C-F-m",201705071705
39681481,"a-n-A-C-F-m",201705071700
39666788,"a-n-A-C-F-m",201705071650
39690097,"a-n-A-C-F-m",201705071710
39662712,"a-n-A-C-F-m",201705071645
39684562,"a-n-A-C-F-m",201705071705
